train_auc,train_acc,train_precision,train_recall,train_f1,val_auc,val_acc,val_precision,val_recall,val_f1,train_loss,val_loss,epoch_time
0.6832616972870157,0.7308943089430894,0.7308943089430894,1.0,0.8445279473931423,0.5178783534712267,0.7301136363636364,0.7301136363636364,1.0,0.8440065681444991,0.5792425438281028,0.5985723336537679,4.127417087554932
0.7558885502186048,0.7308943089430894,0.7308943089430894,1.0,0.8445279473931423,0.5265615400368625,0.7301136363636364,0.7301136363636364,1.0,0.8440065681444991,0.5613380064887386,0.6016351282596588,4.0110673904418945
0.8113210717514256,0.7308943089430894,0.7308943089430894,1.0,0.8445279473931423,0.5339750153594102,0.7301136363636364,0.7301136363636364,1.0,0.8440065681444991,0.5363057323040501,0.6060675779978434,4.055443048477173
0.8929323955116293,0.7308943089430894,0.7308943089430894,1.0,0.8445279473931423,0.5326643456891256,0.7301136363636364,0.7301136363636364,1.0,0.8440065681444991,0.49143248556121705,0.6108915176656511,4.106406211853027
0.9791544146063602,0.7439024390243902,0.7405271828665568,1.0,0.8509228584950308,0.5540856031128405,0.7329545454545454,0.7321937321937322,1.0,0.8453947368421053,0.4173455406581202,0.6009886927074857,4.116515874862671
0.9999327886977474,0.9195121951219513,0.9008016032064128,1.0,0.9478123352662098,0.5866065943067786,0.71875,0.7283236994219653,0.980544747081712,0.835820895522388,0.29775370657444,0.5957103785541322,4.086768865585327
1.0,1.0,1.0,1.0,1.0,0.6081097685848863,0.71875,0.7309941520467836,0.9727626459143969,0.8347245409015025,0.16987027924868367,0.5883606705400679,4.104440927505493
1.0,1.0,1.0,1.0,1.0,0.5961908662707353,0.7159090909090909,0.7386018237082067,0.9455252918287937,0.8293515358361775,0.08399026095867157,0.6036293771531847,4.05594539642334
1.0,1.0,1.0,1.0,1.0,0.6041777595740324,0.7215909090909091,0.7373134328358208,0.9610894941634242,0.8344594594594594,0.037148526178732995,0.6422748847140206,4.00792932510376
1.0,1.0,1.0,1.0,1.0,0.6064714314970305,0.7215909090909091,0.7331378299120235,0.9727626459143969,0.8361204013377926,0.02249906139989053,0.7099251275261244,4.029935598373413
1.0,1.0,1.0,1.0,1.0,0.6038091337292647,0.7130681818181818,0.7307692307692307,0.9610894941634242,0.8302521008403362,0.01523151711350487,0.7234448633260198,3.9745311737060547
1.0,1.0,1.0,1.0,1.0,0.5968462011058775,0.71875,0.7365269461077845,0.9571984435797666,0.8324873096446701,0.012073046227376307,0.6954347441593806,3.9481985569000244
1.0,1.0,1.0,1.0,1.0,0.5992627483104649,0.7215909090909091,0.7373134328358208,0.9610894941634242,0.8344594594594594,0.008880346337513577,0.7233052651087443,3.994737148284912
1.0,1.0,1.0,1.0,1.0,0.5999180831456072,0.7130681818181818,0.7307692307692307,0.9610894941634242,0.8302521008403362,0.006550087773751828,0.7785298973321915,3.9334754943847656
1.0,1.0,1.0,1.0,1.0,0.594921155027647,0.7215909090909091,0.7373134328358208,0.9610894941634242,0.8344594594594594,0.006031336668398111,0.7601071529918246,3.912562608718872
1.0,1.0,1.0,1.0,1.0,0.5991398730288757,0.7159090909090909,0.7315634218289085,0.9649805447470817,0.8322147651006712,0.004725031832593584,0.815090135567718,3.9753358364105225
1.0,1.0,1.0,1.0,1.0,0.6001638337087856,0.7159090909090909,0.7315634218289085,0.9649805447470817,0.8322147651006712,0.004004787330725981,0.830285869538784,3.908430337905884
1.0,1.0,1.0,1.0,1.0,0.5981159123489659,0.7215909090909091,0.7387387387387387,0.9571984435797666,0.8338983050847457,0.004077503750581414,0.7718214036689864,3.9095823764801025
1.0,1.0,1.0,1.0,1.0,0.6006553348351422,0.71875,0.7337278106508875,0.9649805447470817,0.8336134453781513,0.0031697184388195317,0.8319398057129648,3.9805662631988525
1.0,1.0,1.0,1.0,1.0,0.5998361662912145,0.7244318181818182,0.7325581395348837,0.980544747081712,0.8386023294509152,0.0026957338315344625,0.9243473729325665,3.9247419834136963
