train_auc,train_acc,train_precision,train_recall,train_f1,val_auc,val_acc,val_precision,val_recall,val_f1,train_loss,val_loss,epoch_time
0.5930735930735931,0.825,0.825,1.0,0.9041095890410958,0.5327380952380952,0.7,0.7,1.0,0.8235294117647058,0.47300538420677185,0.6214106678962708,42.93057990074158
0.922077922077922,0.825,0.9333333333333333,0.8484848484848485,0.8888888888888888,0.9404761904761905,0.85,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.32195574045181274,0.35610252618789673,42.612327337265015
0.8701298701298702,0.475,1.0,0.36363636363636365,0.5333333333333333,0.9315476190476191,0.475,1.0,0.25,0.4,1.5809787511825562,1.3056848049163818,42.71267819404602
0.9177489177489178,0.85,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9285714285714285,0.85,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.2628548741340637,0.323763370513916,42.78658628463745
0.9350649350649352,0.85,0.9655172413793104,0.8484848484848485,0.9032258064516129,0.9851190476190477,0.85,1.0,0.7857142857142857,0.88,0.3456941246986389,0.3670348525047302,42.4787232875824
0.9913419913419914,0.95,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9672619047619049,0.85,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.17158715426921844,0.322671502828598,42.84088611602783
0.9956709956709957,0.925,1.0,0.9090909090909091,0.9523809523809523,0.949404761904762,0.8,0.9545454545454546,0.75,0.84,0.1874300241470337,0.4556713104248047,43.073949337005615
0.9913419913419914,0.95,0.9428571428571428,1.0,0.9705882352941176,0.9851190476190477,0.9,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.13976652920246124,0.20286564528942108,43.15357303619385
0.9956709956709957,0.95,1.0,0.9393939393939394,0.96875,0.9940476190476191,0.95,1.0,0.9285714285714286,0.9629629629629629,0.14303718507289886,0.1952936351299286,42.61215400695801
1.0,0.925,0.9166666666666666,1.0,0.9565217391304348,0.9910714285714286,0.925,1.0,0.8928571428571429,0.9433962264150944,0.13677988946437836,0.15182329714298248,42.63439464569092
1.0,0.975,1.0,0.9696969696969697,0.9846153846153847,0.9761904761904762,0.875,0.96,0.8571428571428571,0.9056603773584906,0.15038898587226868,0.32818472385406494,42.49427652359009
0.9696969696969697,0.9,1.0,0.8787878787878788,0.9354838709677419,0.9821428571428572,0.875,1.0,0.8214285714285714,0.9019607843137255,0.37375006079673767,0.3363053500652313,42.720324993133545
1.0,0.975,1.0,0.9696969696969697,0.9846153846153847,0.9851190476190476,0.875,1.0,0.8214285714285714,0.9019607843137255,0.1258097141981125,0.29092252254486084,42.710898876190186
1.0,0.975,0.9705882352941176,1.0,0.9850746268656716,0.9851190476190477,0.9,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.08578979223966599,0.17679746448993683,42.72781300544739
1.0,1.0,1.0,1.0,1.0,0.9910714285714285,0.925,1.0,0.8928571428571429,0.9433962264150944,0.10193586349487305,0.1411389410495758,42.52107787132263
1.0,1.0,1.0,1.0,1.0,1.0,0.925,1.0,0.8928571428571429,0.9433962264150944,0.10793236643075943,0.18639904260635376,42.43003034591675
1.0,1.0,1.0,1.0,1.0,0.988095238095238,0.925,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.06644879281520844,0.12748554348945618,42.910829305648804
1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9285714285714286,0.9629629629629629,0.07881422340869904,0.12055368721485138,42.59592580795288
1.0,0.975,0.9705882352941176,1.0,0.9850746268656716,0.9732142857142857,0.925,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.09485051780939102,0.19131752848625183,42.96405053138733
1.0,1.0,1.0,1.0,1.0,1.0,0.925,1.0,0.8928571428571429,0.9433962264150944,0.059677500277757645,0.16759935021400452,42.41070342063904
