train_auc,train_acc,val_auc,val_acc,train_loss,val_loss,epoch_time
0.42105263157894735,0.6333333333333333,0.5590062111801242,0.7666666666666667,0.6585301756858826,0.5820539593696594,23.007697105407715
0.7177033492822967,0.43333333333333335,0.7515527950310559,0.3,0.772551953792572,0.8159258365631104,23.20174741744995
0.7511961722488039,0.6666666666666666,0.782608695652174,0.8333333333333334,0.546090841293335,0.46413230895996094,22.960720539093018
0.9712918660287082,0.7333333333333333,0.7204968944099379,0.8666666666666667,0.4022199511528015,0.45017629861831665,22.75970768928528
0.9043062200956937,0.8666666666666667,0.8881987577639752,0.8333333333333334,0.41700929403305054,0.4097535014152527,24.245513200759888
0.9186602870813396,0.6666666666666666,0.8571428571428571,0.5333333333333333,0.5642430782318115,0.7037925124168396,23.04232907295227
0.9425837320574162,0.6666666666666666,0.7888198757763976,0.5,0.5377074480056763,0.7963307499885559,22.92273187637329
0.8755980861244019,0.7,0.5900621118012422,0.8333333333333334,0.516339898109436,0.6122668385505676,23.322338104248047
0.9617224880382775,0.8333333333333334,0.8819875776397517,0.8333333333333334,0.3617810010910034,0.42909595370292664,23.31854796409607
0.9569377990430621,0.8666666666666667,0.7763975155279503,0.7666666666666667,0.3088420331478119,0.45631110668182373,23.169434070587158
0.9282296650717703,0.8,0.7950310559006212,0.8666666666666667,0.35663944482803345,0.4073903262615204,23.188104152679443
0.9808612440191388,0.9,0.8881987577639752,0.9,0.25751855969429016,0.32483550906181335,23.25423765182495
0.937799043062201,0.9,0.7204968944099379,0.7666666666666667,0.37824004888534546,0.49989932775497437,22.894026041030884
0.9617224880382775,0.8333333333333334,0.8385093167701864,0.8,0.3350185751914978,0.4315304458141327,23.1435124874115
0.985645933014354,0.9333333333333333,0.8944099378881988,0.9,0.19646896421909332,0.3024006187915802,23.107908964157104
0.9665071770334928,0.8,0.8198757763975155,0.7333333333333333,0.43046027421951294,0.5140345692634583,23.15172028541565
0.9904306220095693,0.9666666666666667,0.9316770186335405,0.9333333333333333,0.17616820335388184,0.2753077447414398,23.223780632019043
0.9808612440191388,0.9,0.8012422360248447,0.8,0.24536171555519104,0.43360787630081177,23.079938411712646
0.8660287081339713,0.8666666666666667,0.8136645962732919,0.8,0.5249184966087341,0.5148923397064209,22.86421489715576
0.985645933014354,0.8666666666666667,0.8944099378881988,0.9,0.19171293079853058,0.3456992208957672,22.991974115371704
