train_auc,train_acc,val_auc,val_acc,train_loss,val_loss,epoch_time
0.6998948143119748,0.7308943089430894,0.5502764693835757,0.7301136363636364,0.5645749954188742,0.5973822101950645,4.000271558761597
0.7853237400401252,0.7308943089430894,0.5641613762031539,0.7301136363636364,0.5337711598088102,0.5988532702128092,3.807042121887207
0.9041533224226986,0.734959349593496,0.588203972967438,0.7301136363636364,0.482108111061701,0.589468906323115,3.824827194213867
0.988231300975572,0.7463414634146341,0.6174482899856646,0.7329545454545454,0.3535549440761892,0.6221040015419325,3.9654910564422607
0.9998588562652695,0.9983739837398374,0.6342412451361867,0.7215909090909091,0.21590973872963976,0.5746515889962515,3.8909637928009033
1.0,1.0,0.6313741552324391,0.6875,0.0853558080952342,0.5864970982074738,3.841494560241699
1.0,1.0,0.6441531845177145,0.7386363636363636,0.03146791439957735,0.662016237154603,3.9322752952575684
1.0,1.0,0.6351423305345075,0.7159090909090909,0.017510146379652546,0.6410926605264345,3.875936985015869
1.0,1.0,0.6335859103010445,0.7073863636363636,0.010804327625054412,0.6504175315300623,3.948622703552246
1.0,1.0,0.6318656563587959,0.7102272727272727,0.0067509942199671415,0.691019253184398,3.885996103286743
1.0,1.0,0.6335859103010444,0.6988636363636364,0.005379747417641849,0.6761030542353789,3.8982937335968018
1.0,1.0,0.6323571574851525,0.7102272727272727,0.004027356882011745,0.7142602118353049,3.8646481037139893
1.0,1.0,0.6308826541060824,0.6960227272727273,0.0038275187267217694,0.6915981595714887,3.8873391151428223
1.0,1.0,0.6342002867089904,0.7102272727272727,0.0026510880305999664,0.7395597714930773,3.9462201595306396
1.0,1.0,0.6317427810772067,0.7130681818181818,0.002387602407507962,0.7618444468826056,3.909536600112915
1.0,1.0,0.6312922383780463,0.6903409090909091,0.0025345182795895307,0.6998317576944828,3.952152967453003
1.0,1.0,0.6324800327667419,0.7159090909090909,0.0017626290181197409,0.7674365751445293,4.004664421081543
1.0,1.0,0.6324390743395454,0.6903409090909091,0.0018881954530980893,0.7258070247868696,3.9468724727630615
1.0,1.0,0.632398115912349,0.71875,0.0014616502051400702,0.7828598096966743,3.9437506198883057
1.0,1.0,0.6310874462420644,0.7073863636363636,0.0013762915637571273,0.7718173718700806,3.981579542160034
