,model,dataset,epoch,train_AUC,train_ACC,val_AUC,val_ACC,epoch_time,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1
0,MedViT2D,bloodmnist,1.0,0.7809621774270212,0.1875,0.7935824404574405,0.15,42.51356339454651,0.0609913793103448,0.1796875,0.0789141414141414,0.0329153605015674,0.1375,0.0486694677871148
1,MedViT2D,bloodmnist,2.0,0.8933790132715914,0.6875,0.7838747298122298,0.55,42.20619750022888,0.5366705851619644,0.4885416666666666,0.4684994727834385,0.3859848484848485,0.3827380952380952,0.358276862026862
2,MedViT2D,bloodmnist,3.0,0.9415018793143792,0.7625,0.9064281186156186,0.725,42.34684753417969,0.533531746031746,0.5914434523809524,0.552533442605194,0.6306051587301588,0.5663690476190476,0.5619047619047619
3,MedViT2D,bloodmnist,4.0,0.9500888305868774,0.725,0.914477976040476,0.725,42.38923764228821,0.6346611721611721,0.5973958333333333,0.578774154589372,0.7279671717171717,0.5931547619047619,0.5931197478991597
4,MedViT2D,bloodmnist,5.0,0.9536504522100224,0.825,0.9470300654675654,0.7,42.33731913566589,0.8787878787878788,0.7194940476190477,0.7263392857142857,0.6275974025974026,0.5994047619047619,0.5850840336134454
5,MedViT2D,bloodmnist,6.0,0.9593082853678556,0.825,0.9303958513333512,0.8,42.082847118377686,0.7761217948717949,0.7255952380952381,0.7335403726708074,0.7263621794871795,0.6547619047619048,0.6537714097496706
6,MedViT2D,bloodmnist,7.0,0.9600551848647552,0.825,0.9244406353781354,0.75,41.69932699203491,0.7708614484930274,0.7392857142857142,0.7421888425758394,0.6552083333333334,0.5985119047619047,0.6011363636363636
7,MedViT2D,bloodmnist,8.0,0.9725875027193386,0.8125,0.9088848632598632,0.75,41.997084856033325,0.7612980769230769,0.759970238095238,0.7419664423740511,0.5858585858585859,0.6056547619047619,0.5873241341991342
8,MedViT2D,bloodmnist,9.0,0.967893217512358,0.8875,0.9483618267993268,0.8,41.9964644908905,0.8510964912280702,0.7976190476190477,0.814985014985015,0.7552083333333333,0.6785714285714286,0.6761363636363636
9,MedViT2D,bloodmnist,10.0,0.9775162823258526,0.875,0.926045801045801,0.825,42.3707127571106,0.8038194444444444,0.7779017857142856,0.7848345588235295,0.743844696969697,0.6592261904761905,0.6741071428571428
10,MedViT2D,bloodmnist,11.0,0.9792038142038142,0.9125,0.99471519002769,0.875,42.02696967124939,0.8850108225108225,0.8601190476190477,0.8357142857142857,0.8333333333333333,0.8497023809523809,0.7970467032967032
11,MedViT2D,bloodmnist,12.0,0.973419035919036,0.875,0.9560093210093212,0.75,42.01873302459717,0.8585470085470086,0.7909226190476191,0.7979080015844722,0.6808035714285714,0.713095238095238,0.6533730158730159
12,MedViT2D,bloodmnist,13.0,0.9831826459804976,0.85,0.96998721998722,0.825,41.84019708633423,0.8252840909090908,0.8208333333333333,0.7928129984051036,0.7055288461538461,0.6830357142857143,0.6866718426501035
13,MedViT2D,bloodmnist,14.0,0.9639661577161576,0.9125,0.9408299152049152,0.8,42.01376676559448,0.9069940476190476,0.7916666666666666,0.8041666666666667,0.6891369047619047,0.6839285714285714,0.6719988344988345
14,MedViT2D,bloodmnist,15.0,0.9982303732303732,0.9375,0.9540011649386648,0.85,41.76017451286316,0.926830808080808,0.879092261904762,0.8780106061030946,0.7572916666666667,0.7247023809523809,0.7128205128205128
15,MedViT2D,bloodmnist,16.0,0.9836309523809524,0.9625,0.9720881324006324,0.825,41.79357075691223,0.9410714285714286,0.9077380952380952,0.8973214285714286,0.796875,0.7830357142857143,0.7465277777777777
16,MedViT2D,bloodmnist,17.0,0.9940476190476192,0.9375,0.962101173038673,0.775,41.80321979522705,0.9053030303030304,0.8571428571428571,0.8552655677655677,0.8041666666666667,0.7235119047619047,0.6820818070818071
17,MedViT2D,bloodmnist,18.0,0.9944447367543072,0.8625,0.9700720403845404,0.85,41.793067932128906,0.8625679875679875,0.7898065476190477,0.7598104529329264,0.8654761904761905,0.8452380952380952,0.8264270451770452
18,MedViT2D,bloodmnist,19.0,0.9901244588744588,0.9375,0.9623624076749075,0.85,41.72121024131775,0.960858585858586,0.8125,0.8420589826839827,0.843547077922078,0.8080357142857142,0.7895833333333333
19,MedViT2D,bloodmnist,20.0,0.988095238095238,0.9,0.963056298993799,0.775,41.8715705871582,0.903125,0.8035714285714286,0.7834885022385022,0.8232638888888888,0.7660714285714285,0.756455240665767
20,MedViT2D,breastmnist,1.0,0.4827586206896551,0.275,0.5541125541125542,0.175,20.11332607269287,0.0,0.0,0.0,0.0,0.0,0.0
21,MedViT2D,breastmnist,2.0,0.4890282131661442,0.275,0.5411255411255411,0.175,20.100197315216064,0.0,0.0,0.0,0.0,0.0,0.0
22,MedViT2D,breastmnist,3.0,0.7899686520376176,0.325,0.7705627705627706,0.2,19.7193455696106,1.0,0.0689655172413793,0.1290322580645161,1.0,0.0303030303030303,0.0588235294117647
23,MedViT2D,breastmnist,4.0,0.7586206896551724,0.675,0.787878787878788,0.6,19.951534509658813,0.8636363636363636,0.6551724137931034,0.7450980392156863,0.9473684210526316,0.5454545454545454,0.6923076923076923
24,MedViT2D,breastmnist,5.0,0.7586206896551725,0.775,0.70995670995671,0.825,19.944320678710938,0.7631578947368421,1.0,0.8656716417910447,0.8421052631578947,0.9696969696969696,0.9014084507042254
25,MedViT2D,breastmnist,6.0,0.7648902821316614,0.525,0.7186147186147187,0.375,19.840500593185425,0.8571428571428571,0.4137931034482758,0.5581395348837209,0.9,0.2727272727272727,0.4186046511627907
